left,center,right,bot,speechStart,speechEnd,time,comments,question difficulty,duration
0,0,0,1,0,0,184835,,,0
0,0,0,1,0,0,184838,,,0
0,0,0,1,0,0,184842,,,0
0,0,0,1,0,0,184845,,,0
0,0,0,1,0,0,184848,,,0
0,0,0,1,0,0,184852,,,0
0,0,0,1,0,0,184855,,,0
0,0,0,1,0,0,184858,,,0
0,0,0,1,0,0,184862,,,0
0,0,0,1,0,0,184865,,,0
0,0,0,1,0,0,184868,,,0
0,0,0,1,0,0,184872,,,0
0,0,0,1,0,0,184875,,,0
0,0,0,1,0,0,184878,,,0
0,0,0,1,0,0,184882,,,0
0,0,0,1,0,0,184885,,,0
0,0,0,1,0,0,184888,,,0
0,0,0,1,0,0,184892,,,0
0,0,0,1,0,0,184895,,,0
0,0,0,1,0,0,184898,,,0
0,0,0,1,0,0,184902,,,0
0,0,0,1,0,0,184905,,,0
0,0,0,1,0,0,184908,,,0
0,0,0,1,0,0,184912,,,0
0,0,0,1,0,0,184915,,,0
0,0,0,1,0,0,184918,,,0
0,0,0,1,0,0,184922,,,0
0,0,0,1,0,0,184925,,,0
0,0,0,1,0,0,184928,,,0
0,0,0,1,0,0,184932,,,0
0,0,0,1,0,0,184935,,,0
0,0,0,1,0,0,184938,,,0
0,0,0,1,0,0,184942,,,0
0,0,0,1,0,0,184945,,,0
0,0,0,1,0,0,184948,,,0
0,0,0,1,0,0,184952,,,0
0,0,0,1,0,0,184955,,,0
0,0,0,1,0,0,184958,,,0
0,0,0,1,0,0,184962,,,0
0,0,0,1,0,0,184965,,,0
0,0,0,1,0,0,184968,,,0
0,0,0,1,0,0,184972,,,0
0,0,0,1,0,0,184975,,,0
0,0,0,1,0,0,184978,,,0
0,0,0,1,0,0,184982,,,0
0,0,0,1,0,0,184985,,,0
0,0,0,1,0,0,184988,,,0
0,0,0,1,0,0,184992,,,0
0,0,0,1,0,0,184995,,,0
0,0,0,1,0,0,184998,,,0
0,0,0,1,0,0,185002,,,0
0,0,0,1,0,0,185005,,,0
0,0,0,1,0,0,185008,,,0
0,0,0,1,0,0,185012,,,0
0,0,0,1,0,0,185015,,,0
0,0,0,1,0,0,185018,,,0
0,0,0,1,0,0,185022,,,0
0,0,0,1,0,0,185025,,,0
0,0,0,1,0,0,185028,,,0
0,0,0,1,0,0,185032,,,0
0,0,0,1,0,0,185035,,,0
0,0,0,1,0,0,185038,,,0
0,0,0,1,0,0,185042,,,0
0,0,0,1,0,0,185045,,,0
0,0,0,1,0,0,185048,,,0
0,0,0,0,0,1,185052,,,0
0,0,0,0,0,0,185055,,,0
0,0,0,0,0,0,185058,,,0
0,0,0,0,0,0,185062,,,0
0,0,0,0,0,0,185065,,,0
0,0,0,0,0,0,185068,,,0
0,0,0,0,0,0,185072,,,0
0,0,0,0,0,0,185075,,,0
0,0,0,0,0,0,185078,,,0
0,0,0,0,0,0,185082,,,0
0,0,0,0,0,0,185085,,,0
0,0,0,0,0,0,185088,,,0
0,0,0,0,0,0,185092,,,0
0,0,0,0,0,0,185095,,,0
0,0,0,0,0,0,185098,,,0
0,0,0,0,0,0,185102,,,0
0,0,0,0,0,0,185105,,,0
0,0,0,0,0,0,185108,,,0
0,0,0,0,0,0,185112,,,0
0,0,0,0,0,0,185115,,,0
0,0,0,0,0,0,185118,,,0
0,0,0,0,0,0,185122,,,0
0,0,0,0,0,0,185125,,,0
0,0,0,0,0,0,185128,,,0
0,0,0,0,0,0,185132,,,0
0,0,0,0,0,0,185135,,,0
0,0,0,0,0,0,185138,,,0
0,0,0,0,0,0,185142,,,0
0,0,0,0,0,0,185145,,,0
0,0,0,0,0,0,185148,,,0
0,0,0,0,0,0,185152,,,0
0,0,0,0,0,0,185155,,,0
0,0,0,0,0,0,185158,,,0
0,0,0,0,0,0,185162,,,0
0,0,0,0,0,0,185165,,,0
0,0,0,0,0,0,185168,,,0
0,0,0,0,0,0,185172,,,0
0,0,0,0,0,0,185175,,,0
0,0,0,0,0,0,185178,,,0
0,0,0,0,0,0,185182,,,0
0,0,0,0,0,0,185185,,,0
0,0,0,0,0,0,185188,,,0
0,0,0,0,0,0,185192,,,0
0,0,0,0,0,0,185195,,,0
0,0,0,0,0,0,185198,,,0
0,0,0,0,0,0,185202,,,0
0,0,0,0,0,0,185205,,,0
0,0,0,0,0,0,185208,,,0
0,0,0,0,0,0,185212,,,0
0,0,0,0,0,0,185215,,,0
0,0,0,0,0,0,185218,,,0
0,0,0,0,0,0,185222,,,0
0,0,0,0,0,0,185225,,,0
0,0,0,0,0,0,185228,,,0
0,0,0,0,0,0,185232,,,0
0,0,0,0,0,0,185235,,,0
0,0,0,0,0,0,185238,,,0
0,0,0,0,0,0,185242,,,0
0,0,0,0,0,0,185245,,,0
0,0,0,0,0,0,185248,,,0
0,0,0,0,0,0,185252,,,0
0,0,0,0,0,0,185255,,,0
0,0,0,0,0,0,185258,,,0
0,0,0,0,0,0,185262,,,0
0,0,0,0,0,0,185265,,,0
0,0,0,0,0,0,185268,,,0
0,0,0,0,0,0,185272,,,0
0,0,0,0,0,0,185275,,,0
0,0,0,0,0,0,185278,,,0
0,0,0,0,0,0,185282,,,0
0,1,0,0,1,0,185285,,,0
0,1,0,0,0,0,185288,,,0
0,1,0,0,0,0,185292,,,0
0,1,0,0,0,0,185295,,,0
0,1,0,0,0,0,185298,,,0
0,1,0,0,0,0,185302,,,0
0,1,0,0,0,0,185305,,,0
0,1,0,0,0,0,185308,,,0
0,1,0,0,0,0,185312,,,0
